Date	Day	Tactics	Actors	Target	Event Description	Country	Location	Battle	Duration	Nationalist troops	Nat Arrests	Nat injuries	Nat deaths	Rep troops	Rep arrests	Rep injuries	Rep deaths	Workers	Civilian inj	Civiliandeaths	Source	Date	no event	Source Descriptions
19-Jul-36	Sun	rising	Nationalists	Republicans	Republicans defeat Nationalist challenge	Spain	Madrid	Madrid		301	0	0	0								Fraser			
19-Jul-36	Sun	execution	Republicans	Nationalists	shoot insurgent general Garcia	Spain	Madrid			1	0	0	1	3001	0	0	0	0	0	0	Jackson			
19-Jul-36	Sun	suicide	Nationalists	Republicans	insurgents agree to kill themselves in captivity	Spain	Madrid			8	0	0	8	3001	0	0	0	0	0	0	Jackson			
19-Jul-36	Sun	attack	Republicans	Nationalists	raid armory; kill rebel officers	Spain	Madrid			36	0	0	36	3001	0	0	0	0	0	0	Jackson			
19-Jul-36	Sun	demonstration	workers	government	against compromise cabinet including military rebels	Spain	Madrid		16:00	0	0	0	0	3001	0	0	0	0	0	0	Jackson			
19-Jul-36	Sun	mobilization	Nationalists	Republicans	requisition all vehicles to transport soldiers	Spain	Pamplona	North		2000	0	0	0	0		0	0		0	0	Fraser			
19-Jul-36	Sun	rising	Nationalists	Republicans	Republicans battle for control	Spain	Saragossa	Saragossa		3001											Fraser			
19-Jul-36	Sun	rally	Republicans	Nationalists	gather workers in cinema to decide how to fight Nationalists	Spain	Barcelona			0	0	0	0	2500		0	0	0	0	0	Fraser			
19-Jul-36	Sun	rising	Nationalists	Republicans	Carlists victorious without a struggle	Spain	Pamplona	Pamplona		101	0	0	0	0		0	0		0	0	Fraser			
19-Jul-36	Sun	rising	Nationalists	Republicans	"military officers under arrest, but city falls easily"	Spain	Burgos	Burgos		301	0	0	0	301		0	0		0	0	Fraser			
19-Jul-36	Sun	arrest	Nationalists	Republicans	round up labor officials & anarchists	Spain	Burgos	Burgos		3001	0	0	0	3001	900	0	0	0	0	0	Knickerbocker			
19-Jul-36	Sun	rising	Nationalists	Republicans	Army of Morocco takes city without a shot	Spain	San Roque	San Roque		301	0	0	0	0	0	0	0	0	0	0	Fraser			
19-Jul-36	Sun	rising	Nationalists	Republicans	rising aided & abetted by Bishop of Segovia	Spain	Segovia	Segovia		3001	0	0	0	301	0	0	0	0	0	0	Beevor			
19-Jul-36	Sun	rising	Nationalists	Republicans	swiftly take over city	Spain	Alava	Alava		301	0	0	0	101	0	8	3	0	0	0	Jackson			
19-Jul-36	Sun	rising	Nationalists	Republicans	swiftly take over city	Spain	Guipuzcoa	Guipuzcoa		301	0	0	0	101	0	8	3	0	0	0	Jackson			
19-Jul-36	Sun	rising	Nationalists	Republicans	swiftly take over city	Spain	Carceres	Carceres		301	0	0	0	101	0	0	0	0	0	0	Fraser			
19-Jul-36	Sun	rising	Nationalists	Republicans	swiftly take over city	Spain	Zamora	Zamora		301	0	0	0	101	0	8	3	0	0	0	Jackson			
19-Jul-36	Sun	rising	Nationalists	Republicans	swiftly take over city	Spain	Palencia	Palencia		301	0	0	0	101	0	8	3	0	0	0	Jackson			
19-Jul-36	Sun	rising				Spain	Leon	Leon																
19-Jul-36	Sun	general strike	workers	Nationalists	labor shows its strength	Spain	Valencia	Valencia		301	0	0	0	3001	0	0	0	0	0	0	Jackson			
19-Jul-36	Sun	rising	Nationalists	Republicans	Republicans defeat Nationalist challenge	Spain	Valencia	Valencia		301	0	0	0	3001	0	0	0	0	0	0	Fraser			
19-Jul-36	Sun	rising	Nationalists	Republicans	workers surround barracks with dynamite; troops surrender	Spain	Malaga	Malaga		301	301	0	0	301	0	0	0	0	0	0	Jackson			
19-Jul-36	Sun	attack	Republicans	Nationalists	Republicans defeat Nationalist challenge	Spain	Bilbao	Bilbao													Fraser			
19-Jul-36	Sun	rising	Nationalists	Republicans	open fire on resistors	Spain	Salamanca	Salamanca		1001	0	0	0	101	0	18	6	0	0	0	Jackson			
19-Jul-36	Sun	rising	workers	Nationalists	break into gun shop; take weapons; burn cash	Spain	Barcelona	Barcelona	5:00-17:00	12000	0	0	0	0	0	0	0	0	0	0	Fraser			
19-Jul-36	Sun	attack	Nationalists		machine gun drives anarchists back with heavy losses	Spain	Barcelona	Barcelona		8	0	0	0	31		12	5		0	0	Fraser			
19-Jul-36	Sun	attack	Nationalists	Republicans	battle rages; civil guard joins Republicans to defeat Nationalists	Spain	Barcelona	Placa de Catalunya	8 hours	301	0	31	31	301		31	31		31	31	Fraser			
19-Jul-36	Sun	arms	libertarians		"liberate 10,000 rifles from Civil Guard depot"	Spain	Barcelona	Barcelona		301	0	0	0	301		0	0		0	0	Fraser			
19-Jul-36	Sun	arson	Republicans	churches	burn churches that served as refuge of Nationalists	Spain	Barcelona	Barcelona		301	0	0	0	301	0	0	0	0	0	0	Jackson			
19-Jul-36	Sun	murder	Republicans	priests	"as priest emerge from church, shoot dead with machine gun"	Spain	Barcelona	Barcelona		301	0	0	10	301	0	0	0	0	0	0	Jackson			
19-Jul-36	Sun	rising	Nationalists	workers	Aranda rises and captures city	Spain	Oviedo	Oviedo		2001	0	0	0	0		0	0		0	0	Fraser			
19-Jul-36	Sun	attack	Nationalists	Republicans	Republicans continue defense of city	Spain	Seville	Seville													Fraser			
19-Jul-36	Sun	mobilization	Republicans	Nationalists	"raise 3,500 peasant recruits"	Spain	Tortosa							3500		0	0		0	0	Fraser			
19-Jul-36	Sun	strike	workers	Nationalists	general strike in its fourth week	Spain	Baena			301	0	0	0	0		0	0	9001	0	0	Fraser			
19-Jul-36	Sun	martial law	Nationalists	Republicans	declare martial law to end general strike	Spain	Baena			90	0	0	0	0		0	0		0	0	Fraser			
19-Jul-36	Sun	rising	Nationalists	Republicans	swiftly take over city	Spain	Algeciras	Algeciras		1001	0	0	0	301	8	3	0	0	0	0	Jackson			
19-Jul-36	Sun	rising	Nationalists	Republicans	swiftly take over city	Spain	Cordoba			1001	0	0	0	301	8	3	0	0	0	0	Jackson			
19-Jul-36	Sun	arrest	Nationalists	Republicans	arrest Republicans	Spain	Cordoba			1001	0	0	0	0	18	0	0	0	0	0	Fraser			
19-Jul-36	Sun	resign	Prime Minister	Republicans	Martinez Barrio resigns as PM	Spain	Madrid			0	0	0	0	0	0	0	0	0	0	0	Fraser			
19-Jul-36	Sun	siege	Republicans	military academy	surround & occasionally shell Alcazar	Spain	Toledo	Alcazar		1000	0	0	1	1001	0	0	0	0	0	0	Jackson			
19-Jul-36	Sun	general strike	workers	Nationalists	declare strike & distribute arms	Spain	Cadiz			0	0	0	0	3001	0	0	0	0	0	0	Jackson			
19-Jul-36	Sun	rising	Nationalists	Republicans	Basque nationalists forge surrender of rebels	Spain	San Sebastian	San Sebastian		301	301	0	0	301	0	0	0	0	0	0	Jackson			
19-Jul-36	Sun	rising	Nationalists	Republicans	military takes over; shoots protesters	Spain	Vigo	Vigo		1001	0	0	0	301	0	8	8	0	0	0	Jackson			
19-Jul-36	Sun	preclude	Nationalists	Republicans	loyal general prevents rising	Spain	Badajoz			301	0	0	0	301	0	0	0	0	0	0	Jackson			
19-Jul-36	Sun	hostage	Republicans	Nationalists	take wife & daughter of General de Llona	Spain	Malaga	Malaga		301	2	0	0	30001	0	0	0	0	0	0	Knickerbocker			
19-Jul-36	Sun	murder	Republicans	Nationalists	shoot resident Colonel dead	Spain	Moguer	Moguer		31	0	0	1	301	0	0	0	0	0	0	Knickerbocker			
19-Jul-36	Sun	battle	Nationalists	Republicans	soldiers fight each other in military barracks	Spain	Getafe	Getafe		301	0	31	1	301	0	31	1	0	0	0	Broue & Temime			
20-Jul-36	Mon	arrest	Nationalists	Republicans	arrest Republicans	Spain	Cordoba			1001	0	0	0	0	18	0	0	0	0	0	Fraser			
20-Jul-36	Mon	rising	Nationalists	Republicans	soldiers kill their officers in Montana barracks & surrender	Spain	Madrid	Madrid		1450	0	101	98	3000	0	0	1	0	0	0	Fraser			
20-Jul-36	Mon	demonstration	Republicans	Nationalists	against killing of POUM soldier	Spain	Madrid	Madrid		0	0	0	0	3001	0	0	0	0	0	0	Fraser			
20-Jul-36	Mon	battle	Republicans	Nationalists	"5,000 Austaria miners arrive & help defeat fascists"	Spain	Madrid	Madrid		3001	0	31	8	8000	0	8	3	0	0	0	New York Times	7/21/1936		
20-Jul-36	Mon	rising	Nationalists	Republicans	Nationalists take city	Spain	Toledo	Toledo		1000	0	0	0	3001	0	31	8	0	0	0	New York Times	7/21/1936		
20-Jul-36	Mon	general strike	Republicans	Nationalists	workers refuse to work against the rebellion	Spain	Spain			0	0	0	0	300001	0	0	0	0	0	0	Jackson			
