Date	Day	Action	Actor	Target	Event	Country	Location	Issue	Linkdate	Time	Anti-treaty	Anti-treaty captured	Anti-treaty injured	Anti-treaty killed	Pro-treaty	Pro-treaty captured	Pro-treaty injured	Pro-treaty killed	Source	No event found		List of Sources
1-Mar-22	Wed																			no event		"Deasy, Liam. Brother Against Brother. Dublin: The Mercier Press, 1982."
2-Mar-22	Thu	adjourn	Irish Dail	UK	legislature adjourns until April 26 to consider the treaty	Ireland	Dublin	treaty			0	0	0	0	101	0	0	0	Younger			"Neeson, Eoin. The Civil War, 1922-1923. Dublin: Poolbeg Press, 1989."
3-Mar-22	Fri																			no event		"Younger, Calton. Ireland's Civil War. London: Frederick Muller, 1968."
4-Mar-22	Sat																			no event		
5-Mar-22	Sun																			no event		
6-Mar-22	Mon																			no event		
7-Mar-22	Tue																			no event		
8-Mar-22	Wed																			no event		
9-Mar-22	Thu																			no event		Notes
10-Mar-22	Fri																			no event		The Irish civil war hinged on the Anglo-Irish treat of 6 Demember 1921.
11-Mar-22	Sat																			no event		Pro-treaty forces agreed with the terms of the treaty.
12-Mar-22	Sun																			no event		"Anti-treaty forces rejected the terms of the treaty, especially continuted UK control of Ulster."
13-Mar-22	Mon																			no event		
14-Mar-22	Tue																			no event		
15-Mar-22	Wed																			no event		
16-Mar-22	Thu																			no event		
17-Mar-22	Fri																			no event		
18-Mar-22	Sat																			no event		
19-Mar-22	Sun																			no event		
20-Mar-22	Mon																			no event		
21-Mar-22	Tue																			no event		
22-Mar-22	Wed																			no event		
23-Mar-22	Thu																			no event		
24-Mar-22	Fri																			no event		
25-Mar-22	Sat	preclude	pro-treaty	anti-treaty	refuse to allow meeting of IRA brigades	Ireland	Dublin	treaty			0	0	0	0	12	0	0	0	Deasy			
26-Mar-22	Sun	meeting	anti-treaty	pro-treaty	IRA bridgades meet after all; all against treaty	Ireland	Dublin	treaty			301	0	0	0	0	0	0	0	Deasy			
27-Mar-22	Mon																			no event		
28-Mar-22	Tue																			no event		
29-Mar-22	Wed	piracy	anti-treaty	pro-treaty	hijack arms shipment & take weapons	Ireland	Cobh	treaty		19:00-20:00	31	0	0	0	0	0	0	0	Neeson			
29-Mar-22	Wed	vandalism	anti-treaty	newspaper	destroy press of Freeman's Jounal against its support of the treaty	Ireland	Dublin	treaty			8	0	0	0	0	0	0	0	Neeson			
30-Mar-22	Thu	murder	anti-treaty	UK intelligence officers	3 officers in plain clothes shot dead	Ireland	Cork	treaty			8	0	0	0	0	0	0	0	Neeson			
31-Mar-22	Fri																			no event		
1-Apr-22	Sat																			no event		
2-Apr-22	Sun	meeting	anti-treaty	pro-treaty	IRA bridgades meet to plan action	Ireland	Dublin	treaty			301	0	0	0	0	0	0	0	Deasy			
2-Apr-22	Sun	rally	pro-treaty	anti-treaty	Michael Collins tries to rally forces in a stormy rally	Ireland	Castlebar	treaty			301	0	0	0	301	0	0	0	Younger			
3-Apr-22	Mon																			no event		
4-Apr-22	Tue																			no event		
5-Apr-22	Wed																			no event		
6-Apr-22	Thu																			no event		
7-Apr-22	Fri																			no event		
8-Apr-22	Sat																			no event		
9-Apr-22	Sun	meeting	anti-treaty	pro-treaty	IRA bridgades meet to plan action	Ireland	Dublin	treaty			301	0	0	0	0	0	0	0	Deasy			
10-Apr-22	Mon																			no event		
11-Apr-22	Tue																			no event		
12-Apr-22	Wed																			no event		
13-Apr-22	Thu																			no event		
14-Apr-22	Fri	occupation	anti-treaty	pro-treaty	anti-treaty forces occupy 4 Courts & Kilmainham jail	Ireland	Dublin	treaty			201	0	0	0	0	0	0	0	Deasy			
14-Apr-22	Fri	occupation	anti-treaty	pro-treaty	anti-treaty forces occupy Sligo in siege fashion	Ireland	Sligo	treaty			401	0	0	0	0	0	0	0	Younger			
15-Apr-22	Sat	unraveling	anti-treaty	anti-treaty	split in anti-treaty forces leads to separation between Dublin & Ireland	Ireland	Dublin	treaty			201	0	0	0	0	0	0	0	Deasy			
15-Apr-22	Sat	occupation	anti-treaty	pro-treaty	anti-treaty forces occupy Sligo in siege fashion	Ireland	Sligo	treaty			401	0	0	0	0	0	0	0	Younger			
15-Apr-22	Sat	battle	anti-treaty	pro-treaty	firefight erupts between two forces	Ireland	Sligo	treaty			101	0	0	0	101	8	0	0	Younger			
16-Apr-22	Sun	occupation	anti-treaty	pro-treaty	anti-treaty forces occupy Sligo in siege fashion	Ireland	Sligo	treaty			401	0	0	0	0	0	0	0	Younger			
16-Apr-22	Sun	defection	anti-treaty	pro-treaty	Collins's driver tries to take him off; instead Collins speaks	Ireland	Waterford	treaty			1	1	0	0	301	0	0	0	Younger			
17-Apr-22	Mon	occupation	anti-treaty	pro-treaty	anti-treaty forces occupy Sligo in siege fashion	Ireland	Sligo	treaty			401	0	0	0	0	0	0	0	Younger			
18-Apr-22	Tue	occupation	anti-treaty	pro-treaty	anti-treaty forces occupy Sligo in siege fashion	Ireland	Sligo	treaty			401	0	0	0	0	0	0	0	Younger			
19-Apr-22	Wed																			no event		
20-Apr-22	Thu																			no event		
21-Apr-22	Fri																					
22-Apr-22	Sat	obstruction	anti-treaty	pro-treaty	Collins delayed because anti-treaty troops closed all railroad gates	Ireland	Killarney	treaty			101	0	0	0	101	0	0	0	Younger			
22-Apr-22	Sat	harass	anti-treaty	pro-treaty	50 men show up with bayonets & burn speakers platform	Ireland	Killarney	treaty			50	0	0	0	0	0	0	0	Younger			
23-Apr-22	Sun	statement	pro-treaty	anti-treaty	both sides confined to barracks as Collins speaks	Ireland	Tralee	treaty			101	0	0	0	301	0	0	0	Younger			
23-Apr-22	Sun	arrest	anti-treaty	pro-treaty	both sides arrest 10 troops	Ireland	Tralee	treaty			101	10	0	0	301	10	0	0	Younger			
24-Apr-22	Mon	assassination	anti-treaty	pro-treaty	shoot General Adamson dead	Ireland	Athlone	treaty			3	0	0	0	1	0	0	1	Younger			
24-Apr-22	Mon	surrender	anti-treaty	pro-treaty	"appalled at assassination, anti-treaty troops give up to McEoin"	Ireland	Athlone	treaty			25	25	0	0	1	0	0	0	Younger			
25-Apr-22	Tue	occupation	anti-treaty	pro-treaty	"occupy town prison, bring kegs of liquor in"	Ireland	Kilkenny	treaty			31	0	0	0	0	0	0	0	Younger			
26-Apr-22	Wed	occupation	anti-treaty	pro-treaty	"occupy town prison, bring kegs of liquor in"	Ireland	Kilkenny	treaty			31	0	0	0	0	0	0	0	Younger			
27-Apr-22	Thu	occupation	anti-treaty	pro-treaty	"occupy town prison, bring kegs of liquor in"	Ireland	Kilkenny	treaty			31	0	0	0	0	0	0	0	Younger			
28-Apr-22	Fri	occupation	anti-treaty	pro-treaty	"occupy town prison, bring kegs of liquor in"	Ireland	Kilkenny	treaty			31	0	0	0	0	0	0	0	Younger			
29-Apr-22	Sat	occupation	anti-treaty	pro-treaty	"occupy town prison, bring kegs of liquor in"	Ireland	Kilkenny	treaty			31	0	0	0	0	0	0	0	Younger			
30-Apr-22	Sun	standoff	anti-treaty	pro-treaty	both sides try to occupy UK barracks; shooting ensues	Ireland	Annacarty	treaty			101	0	0	0	101	0	3	0	Younger			
1-May-22	Mon	attack	anti-treaty	pro-treaty	try to drive state (pro-treaty) forces out	Ireland	Kilkenny	treaty			301	0	0	0	201	0	0	0	Neeson			
1-May-22	Mon	robbery	anti-treaty	banks	"take 250,000 pounds from banks"	Ireland	Ireland	treaty			301	0		0	0	0	0	0	Younger			
1-May-22	Mon	mutiny	anti-treaty	pro-treaty	Bank of Ireland guard mutinies against pro-treaty force	Ireland	Dublin	treaty			19	19	0	0	101	0	0	0	Younger			
2-May-22	Tue	occupation	anti-treaty	pro-treaty	agree to occupy two different sections of the city	Ireland	Kilkenny	treaty			301	0	0	0	301	0	0	0	Neeson			
2-May-22	Tue	surrender	pro-treaty	anti-treaty	pro-treaty forces surrender barracks	Ireland	Annacarty	treaty		10:00	101	0	0	0	98	25	0	0	Younger			
3-May-22	Wed	battle	pro-treaty	anti-treaty	pro-treaty troops attack anti-treaty forces	Ireland	Kilkenny	treaty		7:00	101	0	0	0	101	0	4	0	Younger			
3-May-22	Wed	surrender	anti-treaty	pro-treaty	anti-treaty forces give up	Ireland	Kilkenny	treaty		19:00	51	10	0	0	101	0	0	0	Younger			
4-May-22	Thu	truce	anti-treaty	pro-treaty	agree on a 4-day truce	Ireland	Dublin	treaty			31	0	0	0	31	0	0	0	Younger			
5-May-22	Fri	truce	anti-treaty	pro-treaty	agree on a 4-day truce	Ireland	Dublin	treaty			31	0	0	0	31	0	0	0	Younger			
6-May-22	Sat	truce	anti-treaty	pro-treaty	agree on a 4-day truce	Ireland	Dublin	treaty			31	0	0	0	31	0	0	0	Younger			
7-May-22	Sun	truce	anti-treaty	pro-treaty	agree on a 4-day truce	Ireland	Dublin	treaty			31	0	0	0	31	0	0	0	Younger			
8-May-22	Mon	truce	anti-treaty	pro-treaty	truce is extended indefinitely	Ireland	Dublin	treaty			31	0	0	0	31	0	0	0	Younger			
9-May-22	Tue	arrest	pro-treaty	anti-treaty	arrest pro-treaty officer on arrival in Waterford	Ireland	Waterford	treaty			8	0	0	0	1	1	0	0	Neeson			
10-May-22	Wed	hunger strike	pro-treaty	anti-treaty	against his arrest by anti-treaty officers	Ireland	Waterford	treaty			8	0	0	0	1	0	0	0	Neeson			
11-May-22	Thu	hunger strike	pro-treaty	anti-treaty	against his arrest by anti-treaty officers	Ireland	Waterford	treaty			8	0	0	0	1	0	0	0	Neeson			
12-May-22	Fri	hunger strike	pro-treaty	anti-treaty	against his arrest by anti-treaty officers	Ireland	Waterford	treaty			8	0	0	0	1	0	0	0	Neeson			
13-May-22	Sat	hunger strike	pro-treaty	anti-treaty	against his arrest by anti-treaty officers	Ireland	Waterford	treaty			8	0	0	0	1	0	0	0	Neeson			
14-May-22	Sun	hunger strike	pro-treaty	anti-treaty	against his arrest by anti-treaty officers	Ireland	Waterford	treaty			8	0	0	0	1	0	0	0	Neeson			
15-May-22	Mon	hunger strike	pro-treaty	anti-treaty	against his arrest by anti-treaty officers	Ireland	Waterford	treaty			8	0	0	0	1	0	0	0	Neeson			
16-May-22	Tue	hunger strike	pro-treaty	anti-treaty	against his arrest by anti-treaty officers	Ireland	Waterford	treaty			8	0	0	0	1	0	0	0	Neeson			
17-May-22	Wed	hunger strike	pro-treaty	anti-treaty	against his arrest by anti-treaty officers	Ireland	Waterford	treaty			8	0	0	0	1	0	0	0	Neeson			
18-May-22	Thu	hunger strike	pro-treaty	anti-treaty	against his arrest by anti-treaty officers	Ireland	Waterford	treaty			8	0	0	0	1	0	0	0	Neeson			
19-May-22	Fri	hunger strike	pro-treaty	anti-treaty	against his arrest by anti-treaty officers	Ireland	Waterford	treaty			8	0	0	0	1	0	0	0	Neeson			
20-May-22	Sat	escape	pro-treaty	anti-treaty	dons nun's habit & escapes from hospital	Ireland	Waterford	treaty			0	0	0	0	1	0	0	0	Neeson			
21-May-22	Sun																			no event		
22-May-22	Mon																			no event		
23-May-22	Tue																			no event		
24-May-22	Wed																			no event		
25-May-22	Thu																			no event		
26-May-22	Fri																			no event		
27-May-22	Sat																			no event		
28-May-22	Sun																			no event		
29-May-22	Mon																			no event		
30-May-22	Tue	attack	anti-treaty	UK forces	fire across border to Ulster	UK	Pettigo	treaty			8	0	0	0	0	0	0	0	Younger			
31-May-22	Wed																			no event		
1-Jun-22	Thu																			no event		
2-Jun-22	Fri																			no event		
3-Jun-22	Sat																			no event		
4-Jun-22	Sun																			no event		
5-Jun-22	Mon																			no event		
6-Jun-22	Tue																			no event		
7-Jun-22	Wed																			no event		
8-Jun-22	Thu																			no event		
9-Jun-22	Fri																			no event		
10-Jun-22	Sat																			no event		
11-Jun-22	Sun																			no event		
12-Jun-22	Mon																			no event		
13-Jun-22	Tue																			no event		
14-Jun-22	Wed																			no event		
15-Jun-22	Thu																			no event		
16-Jun-22	Fri																			no event		
17-Jun-22	Sat																			no event		
18-Jun-22	Sun																			no event		
19-Jun-22	Mon																			no event		
20-Jun-22	Tue																			no event		
21-Jun-22	Wed																			no event		
22-Jun-22	Thu	assassination	anti-treaty	UK official	"shoot dead Sir Henry Wilson, anti-Irish politician"	UK	London	treaty			2	0	0	0	0	0	0	0	Neeson			
23-Jun-22	Fri																			no event		
24-Jun-22	Sat	arrest	anti-treaty	pro-treaty	arrest leader of caravan of arms to the North	Ireland	Dundalk	treaty			1	1	0	0	8	0	0	0	Neeson			
25-Jun-22	Sun	arrest	anti-treaty	pro-treaty	arrest General O'Connell	Ireland	Dublin	treaty			1	1	0	0	8	0	0	0	Neeson			
26-Jun-22	Mon																			no event		
27-Jun-22	Tue	arrest	pro-treaty	soldiers	arrest 40 pro-treaty troops unwilling to shoot against friends	Ireland	Dublin	treaty			0	0	0	0	40	40	0	0	Younger			
28-Jun-22	Wed	arrest	anti-treaty	pro-treaty	"anti-treaty General Lynch arrested, but then released"	Ireland	Dublin	treaty			1	1	0	0	8	0	0	0	Neeson			
28-Jun-22	Wed	shelling	pro-treaty	anti-treaty	use artillery against 4 Courts	Ireland	Dublin			6:00-12:30	180	0	0	0	301	0	0	0	Deasy			
28-Jun-22	Wed	attack	pro-treaty	anti-treaty	demand vacation of 4 Courts by 4:00; refused; civil war begins	Ireland	Dublin	treaty		2:00-23:59	180	0	31	8	501	0	8	1	Neeson			
29-Jun-22	Thu	arrest	pro-treaty	anti-treaty	capture 2 officers of the anti-treaty movement	Ireland	Kilock	treaty			2	2	0	0	31	0	0	0	Neeson			
29-Jun-22	Thu	shelling	pro-treaty	anti-treaty	use artillery against 4 Courts	Ireland	Dublin	treaty			172	100	31	3	2000	0	3	0	Neeson			
29-Jun-22	Thu	battle	anti-treaty	pro-treaty	anti-treaty forces take offensive & move north	Ireland	Ardfert	treaty			101	0	1	0	101	0	8	1	Deasy			
29-Jun-22	Thu	battle	anti-treaty	pro-treaty	anti-treaty forces take offensive & move north	Ireland	Lixnaw	treaty			101	0	1	0	101	0	8	1	Deasy			
29-Jun-22	Thu	battle	anti-treaty	pro-treaty	Lynch attacks pro-treaty bases in the south	Ireland	Listowel	treaty			301	0	3	1	101	0	4	1	Deasy			
29-Jun-22	Thu	firefight	pro-treaty	anti-treaty	machine-gun fire brings surrender of anti-treaty forces	Ireland	Dublin	treaty			30	30	0	0	101	0	0	0	Younger			
29-Jun-22	Thu	battle	pro-treaty	anti-treaty	firefight in County Donegal	Ireland	Finner Camp	treaty		7:00-9:00	101	0	8	3	301	0	3	1	Younger			
30-Jun-22	Fri	shelling	pro-treaty	anti-treaty	use artillery against 4 Courts; building catches fire & explodes	Ireland	Dublin	treaty			169	0	31	8	500	0	51	8	Neeson			
30-Jun-22	Fri	surrender	anti-treaty	pro-treaty	give up at 15:30	Ireland	Dublin	treaty		6:00-15:30	161	161	0	0	492	0	0	0	Neeson			
30-Jun-22	Fri	battle	anti-treaty	pro-treaty	Lynch attacks pro-treaty bases in the south	Ireland	Listowel	treaty			301	0	3	1	101	0	4	1	Deasy			
30-Jun-22	Fri	burn	pro-treaty	anti-treaty	burn barracks	Ireland	Sligo	treaty			301	0	0	0	301	0	0	0	Younger			
1-Jul-22	Sat	assassination	anti-treaty	pro-treaty	pro-treaty officer shot dead in the back	Ireland	Nenagh	treaty			1	0	0	0	1	0	0	1	Neeson			
1-Jul-22	Sat	attack	anti-treaty	pro-treaty	armed truck attacked from Moran's hotel	Ireland	Dublin	treaty		14:00	31	0	0	0	16	0	0	0	Neeson			
1-Jul-22	Sat	battle	anti-treaty	pro-treaty	Lynch attacks pro-treaty bases in the south	Ireland	Listowel	treaty			301	0	3	1	101	0	4	1	Neeson			
1-Jul-22	Sat	battle	anti-treaty	pro-treaty	firefights emerge around capital	Ireland	Dublin	treaty			101	0	25	5	201	0	15	1	Neeson			
1-Jul-22	Sat	battle	pro-treaty	anti-treaty	firefight in city kills one civilian	Ireland	Sligo	treaty			101	0	3	1	151	0	3	0	Neeson			
1-Jul-22	Sat	march	pro-treaty	anti-treaty	"south of Dublin toward Blessington, clearing areas as they travel"	Ireland	Blessington	treaty			0	0	0	0	500	0	0	0	Neeson			
1-Jul-22	Sat	occupation	pro-treaty	anti-treaty	march in to fortify village	Ireland	Tullow	treaty			0	0	0	0	30	0	0	0	Neeson			
1-Jul-22	Sat	battle	anti-treaty	pro-treaty	Lynch attacks pro-treaty bases in the south	Ireland	Listowel	treaty			301	0	3	1	101	0	4	1	Deasy			
1-Jul-22	Sat	battle	pro-treaty	anti-treaty	"after anti-treaty forces take house, they are ousted with rife & grenades"	Ireland	Letterkenny	treaty			20	20	0	0	101	0	0	0	Younger			
1-Jul-22	Sat	attack	anti-treaty	pro-treaty	pro-treaty troops surrender to anti-treaty force	Ireland	Collooney	treaty			101	0	0	0	31	31	0	0	Younger			
2-Jul-22	Sun	attack	anti-treaty	pro-treaty	attack pro-treaty police barracks	Ireland	Rathangan	treaty			40	0	0	0	35	33	3	1	Neeson			
2-Jul-22	Sun	battle	anti-treaty	pro-treaty	heavy fighting	Ireland	Enniscorthy	treaty			301	0	3	1	301	0	3	1	Neeson			
2-Jul-22	Sun	battle	anti-treaty	pro-treaty	lines develop throughout city	Ireland	Dublin	treaty			201	0	10	3	497	0	18	5	Neeson			
2-Jul-22	Sun	march	pro-treaty	anti-treaty	"south of Dublin toward Blessington, clearing areas as they travel"	Ireland	Blessington	treaty			0	0	0	0	500	0	0	0	Neeson			
2-Jul-22	Sun	sniping	anti-treaty	pro-treaty	snipers appear; state forces close two sites	Ireland	Dublin	treaty		12:00	201	0	20	5	501	0	18	5	Neeson			
2-Jul-22	Sun	statement	women's groups	pro-treaty	abhor the fighting; seek immediate cessation	Ireland	Dublin	civil war			301	0	0	0	0	0	0	0	Neeson			
2-Jul-22	Sun	surrender	anti-treaty	pro-treaty	part of anti-treaty troops surrender; most withdraw from city	Ireland	Dublin	treaty			100	100	0	0	492	0	0	0	Neeson			
2-Jul-22	Sun	battle	anti-treaty	pro-treaty	Lynch attacks pro-treaty bases in the south	Ireland	Listowel	treaty			301	0	3	1	101	0	4	1	Deasy			
2-Jul-22	Sun	skirmish	pro-treaty	anti-treaty	overpower anti-treaty control of police barracks	Ireland	Cardonagh	treaty			31	0	3	1	101	0	0	0	Younger			
2-Jul-22	Sun	battle	pro-treaty	anti-treaty	all-day battle for occupation of Sligo	Ireland	Sligo	treaty		6:00-18:00	201	0	8	3	301	0	3	1	Younger			
3-Jul-22	Mon	battle	anti-treaty	pro-treaty	heavy fighting	Ireland	Enniscorthy	treaty			301	0	3	1	301	0	3	1	Neeson			
3-Jul-22	Mon	battle	anti-treaty	pro-treaty	heavy fighting	Ireland	Ferns	treaty			201	0	0	0	150	0	8	3	Neeson			
3-Jul-22	Mon	battle	pro-treaty	anti-treaty	pro-treaty troops drive out irregulars	Ireland	Galway	treaty			101	0	31	3	501	0	3	1	Neeson			
3-Jul-22	Mon	battle	pro-treaty	anti-treaty	skirmishes throughout the day; pro-treaty forces prevail	Ireland	Laois	treaty			101	0	3	1	151	0	3	1	Neeson			
3-Jul-22	Mon	attack	anti-treaty	pro-treaty	ambush a train & loot it	Ireland	Church Hill	treaty			101	0	0	0	0	0	0	0	Younger			
3-Jul-22	Mon	march	pro-treaty	anti-treaty	"south of Dublin toward Blessington, clearing areas as they travel"	Ireland	Blessington	treaty			0	0	0	0	500	0	0	0	Neeson			
3-Jul-22	Mon	ambush	anti-treaty	pro-treaty	small group is set upon by an anti-treaty force	Ireland	Sligo	treaty			101	0	0	0	7	0	2	1	Younger			
3-Jul-22	Mon	withdraw	anti-treaty	pro-treaty	"the anti-treaty leadership leaves Dublin, including De Valera"	Ireland	Dublin	treaty			101	0	0	0	0	0	0	0	Neeson			
3-Jul-22	Mon	battle	anti-treaty	pro-treaty	attack courthouse	Ireland	Sligo	treaty		14:00-16:00	101	0	0	0	101	0	2	0	Younger			
3-Jul-22	Mon	battle	anti-treaty	pro-treaty	Lynch attacks pro-treaty bases in the south	Ireland	Listowel	treaty			301	0	3	1	101	0	4	1	Deasy			
4-Jul-22	Tue	attack	anti-treaty	pro-treaty	Lynch attacks pro-treaty bases in the south	Ireland	Skibbereen	treaty			301	0	3	1	101	50	16	3	Neeson			
4-Jul-22	Tue	battle	anti-treaty	pro-treaty	heavy fighting	Ireland	Enniscorthy	treaty			300	0	3	1	299	0	3	1	Neeson			
4-Jul-22	Tue	battle	anti-treaty	pro-treaty	pro-treaty troops surrender under onslaught	Ireland	Ferns	treaty			201	0	0	0	147	0	8	3	Neeson			
4-Jul-22	Tue	battle	pro-treaty	anti-treaty	anti-treaty troops driven back	Ireland	Ballymor-Eustace	treaty		6:00	201	3	31	8	300	0	8	3	Neeson			
4-Jul-22	Tue	battle	pro-treaty	anti-treaty	pro-treaty troops drive out irregulars	Ireland	Abbeyleix	treaty			101	0	3	1	301	0	0	0	Neeson			
4-Jul-22	Tue	battle	pro-treaty	anti-treaty	try to eliminate last holdouts in Dublin	Ireland	Dublin	treaty		19:00-22:00	18	15	0	0	101	0	16	3	Neeson			
4-Jul-22	Tue	battle	anti-treaty	pro-treaty	pro-treaty troops surrender	Ireland	Listowel	treaty			301	0	3	1	101	50	4	1	Deasy			
5-Jul-22	Wed	attack	pro-treaty	anti-treaty	all day attempt to root out last holdouts	Ireland	Dublin	treaty		2:00-19:00	18	10	8	3	101	0	16	3	Neeson			
5-Jul-22	Wed	battle	anti-treaty	pro-treaty	anti-treaty surge displaces state troops	Ireland	Enniscorthy	treaty			299	0	3	1	299	0	31	8	Neeson			
5-Jul-22	Wed	battle	pro-treaty	anti-treaty	pro-treaty troops drive out irregulars	Ireland	Cappard	treaty			101	0	3	2	301	0	0	2	Neeson			
5-Jul-22	Wed	march	pro-treaty	anti-treaty	"south of Dublin toward Blessington, clearing areas as they travel"	Ireland	Blessington	treaty			0	0	0	0	500	0	0	0	Neeson			
5-Jul-22	Wed	battle	pro-treaty	anti-treaty	pro-treaty troops pursue sabateurs	Ireland	Ferns	treaty		10:00	45	41	1	1	350	0	0	0	Younger			
5-Jul-22	Wed	battle	anti-treaty	pro-treaty	pro-treaty garrison surrenders under onslaught	Ireland	Urlingford	treaty		19:00	101	0	0	0	17	17	0	0	Younger			
6-Jul-22	Thu	battle	anti-treaty	pro-treaty	anti-treaty surge displaces state troops	Ireland	Enniscorthy	treaty			297	0	3	1	291	0	31	8	Neeson			
6-Jul-22	Thu	battle	pro-treaty	anti-treaty	anti-treaty troops driven back	Ireland	Brittas	treaty		8:00-10:00	201	1	31	8	301	0	8	3	Neeson			
6-Jul-22	Thu	battle	pro-treaty	anti-treaty	anti-treaty troops driven back	Ireland	Crooksling	treaty		8:00-10:00	201	1	31	8	301	0	8	3	Neeson			
6-Jul-22	Thu	battle	pro-treaty	anti-treaty	try to remove anti-treaty police; 2 civilians killed	Ireland	Sligo	treaty			31	2	0	0	301	0	0	0	Younger			
6-Jul-22	Thu	skirmish	pro-treaty	anti-treaty	firefight gains back prisoners from Urlingford	Ireland	Urlingford	treaty		8:00-9:00	31	0	0	0	101	0	0	0	Younger			
7-Jul-22	Fri	battle	pro-treaty	anti-treaty	battle of Limerick begins	Ireland	Limerick	treaty		17:30	301	0	3	1	501	0	3	1	Neeson			
7-Jul-22	Fri	battle	pro-treaty	anti-treaty	pro-treaty reinforcement drive out irregulars	Ireland	Enniscorthy	treaty			296	0	31	8	501	0	3	1	Neeson			
7-Jul-22	Fri	battle	pro-treaty	anti-treaty	pro-treaty reinforcement drive out irregulars	Ireland	Ferns	treaty			201	0	8	3	501	0	1	0	Neeson			
7-Jul-22	Fri	siege	pro-treaty	anti-treaty	form a ring around Baltinglass	Ireland	Baltinglass	treaty			800	0	0	0	501	0	0	0	Neeson			
7-Jul-22	Fri	attack	pro-treaty	anti-treaty	open fire on the ordnance barracks	Ireland	Dublin	treaty			101	0	3	1	301	0	0	0	Deasy			
7-Jul-22	Fri	battle	pro-treaty	anti-treaty	pro-treaty troops fight mines & rifle fire on way to Blessington	Ireland	Blessington	treaty			201	0	0	0	1000	0	3	1	Younger			
8-Jul-22	Sat	battle	pro-treaty	anti-treaty	battle of Limerick	Ireland	Limerick	treaty			301	0	3	1	501	0	3	1	Neeson			
8-Jul-22	Sat	battle	pro-treaty	anti-treaty	pro-treaty troops battle into city	Ireland	Baltinglass	treaty		5:30-10:00	15	15	0	0	501	0	3	0	Neeson			
8-Jul-22	Sat	escape	anti-treaty	pro-treaty	"use fog to sneak out of city, leaving 15 fighters behind"	Ireland	Baltinglass	treaty		5:00	785	0	0	0	501	0	0	0	Neeson			
8-Jul-22	Sat	occupation	pro-treaty	anti-treaty	anti-treaty troops flee; pro-treaty forces march in	Ireland	Blessington	treaty		19:30	0	0	0		1000	0	0	0	Younger			
9-Jul-22	Sun	battle	pro-treaty	anti-treaty	battle of Limerick	Ireland	Limerick	treaty			300	0	3	1	501	0	3	1	Neeson			
10-Jul-22	Mon	battle	pro-treaty	anti-treaty	battle of Limerick	Ireland	Limerick	treaty			299	0	3	1	500	0	3	1	Neeson			
10-Jul-22	Mon	skirmish	anti-treaty	pro-treaty	try to capture pro-treaty armored car	Ireland	Sligo	treaty			31	0	3	1	301	0	0	0	Younger			
10-Jul-22	Mon	battle	pro-treaty	anti-treaty	battle for Collooney	Ireland	Collooney	treaty			101	0	3	0	301	0	3	0	Younger			
11-Jul-22	Tue	battle	anti-treaty	pro-treaty	capture state weapons & armored car	Ireland	Rockwood	treaty			201	0	0	0	31	3	3	0	Neeson			
11-Jul-22	Tue	battle	pro-treaty	anti-treaty	battle of Limerick	Ireland	Limerick	treaty			298	0	3	1	499	0	3	1	Neeson			
11-Jul-22	Tue	battle	pro-treaty	anti-treaty	battle for Collooney	Ireland	Collooney	treaty			101	0	3	0	301	0	3	0	Younger			
12-Jul-22	Wed	battle	pro-treaty	anti-treaty	battle of Limerick	Ireland	Limerick	treaty			297	13	3	1	498	0	3	1	Neeson			
12-Jul-22	Wed	ambush	anti-treaty	pro-treaty	attack armored car & seize it	Ireland	Markree	treaty			50	0	0	0	101	0	2	4	Younger			
12-Jul-22	Wed	battle	pro-treaty	anti-treaty	clear anti-treaty troops from Ballymote	Ireland	Ballymote	treaty		7:00-9:00	101	0	3	1	301	0	0	0	Younger			
13-Jul-22	Thu	battle	pro-treaty	anti-treaty	battle of Limerick	Ireland	Limerick	treaty			283	0	3	1	801	0	3	1	Neeson			
13-Jul-22	Thu	siege	anti-treaty	pro-treaty	besiege a small force of pro-treaty troops	Ireland	Kilmallock	treaty			201	0	0	0	50	0	0	0	Younger			
13-Jul-22	Thu	skirmish	pro-treaty	anti-treaty	reinforcements encounter an anti-treaty squad	Ireland	Two Mile Borris	treaty		10:00-11:00	101	0	1	0	280	0	0	0	Younger			
14-Jul-22	Fri	battle	pro-treaty	anti-treaty	battle of Limerick	Ireland	Limerick	treaty			282	0	3	1	800	0	3	1	Neeson			
14-Jul-22	Fri	ultimatum	anti-treaty	pro-treaty	demand surrender of state troops; they refuse	Ireland	Sligo	treaty			201	0	0	0	201	0	0	0	Neeson			
14-Jul-22	Fri	battle	pro-treaty	anti-treaty	"after clearing out civilians, pro-treaty forces attack"	Ireland	Collooney	treaty		9:00-15:00	101	71	8	0	301	0	3	0	Younger			
14-Jul-22	Fri	siege	anti-treaty	pro-treaty	besiege a small force of pro-treaty troops; prot-treaty surrender	Ireland	Kilmallock	treaty			201	0	0	0	50	50	0	0	Younger			
14-Jul-22	Fri	battle	pro-treaty	anti-treaty	battle around Thurles; anti-treaty forces surrender	Ireland	Thurles	treaty			80	70	3	1	301	0	0	1	Younger			
15-Jul-22	Sat	battle	pro-treaty	anti-treaty	battle of Limerick	Ireland	Limerick	treaty			281	0	3	1	799	0	3	1	Neeson			
